Temperature,Resistance,Voltage,Current Source
292.50677529379044,4120.545801,0.41205458010000007,0.0001
292.50969279851296,2319.745584280936,1.4012200599999998,0.0006040404040404041
292.5119796114044,1812.719858833182,2.0086400860000007,0.0011080808080808082
292.51492443937633,1523.182199041353,2.455554333,0.0016121212121212123
292.5179884462729,1355.183166587112,2.8677865999999996,0.002116161616161616
292.5216880543013,1249.5151033230532,3.273981998,0.0026202020202020205
292.52589412595677,1158.1841047041707,3.618447915,0.0031242424242424243
292.53144350567476,1061.260591094098,3.8505535789999996,0.003628282828282828
292.5366354198254,982.3185379711562,4.059257716,0.004132323232323233
292.54217986944184,929.4368332549019,4.309207136,0.004636363636363637
292.54919404662496,855.0413322479858,4.3952579190000005,0.0051404040404040416
292.5557018335218,801.8062075984251,4.525750594,0.005644444444444445
292.5626118464492,741.230587097092,4.557445034,0.006148484848484849
292.5692760317767,693.8396555876099,4.615785829999999,0.006652525252525254
292.57699794941254,654.6082338673253,4.6847468050000005,0.007156565656565657
292.58466515735165,618.1266339161392,4.735224638,0.007660606060606061
292.5916124457251,582.1804952096993,4.753297922,0.008164646464646465
292.5995999630701,548.2584139897459,4.752680514,0.008668686868686869
292.6067903736069,520.6081519722496,4.775396593999999,0.009172727272727273
292.61404304724005,501.83122714196224,4.856104197999999,0.009676767676767678
292.62138739322324,479.1430812054767,4.878063753,0.010180808080808082
292.6278577832411,455.0471015002837,4.862109333000001,0.010684848484848485
292.6360339727081,433.01439277060575,4.844949928,0.011188888888888889
292.64370852681805,398.5312634035937,4.659997884000001,0.011692929292929293
292.6517083984201,389.29982233043467,4.748278135999999,0.012196969696969697
292.6596113629783,364.7907775170987,4.63321135,0.012701010101010102
292.6679339923724,351.2674906639639,4.638504955,0.013205050505050506
292.67593868989786,340.08660938328904,4.6622782449999995,0.01370909090909091
292.6834667089698,318.6791938533153,4.529429229,0.014213131313131313
292.69159559246697,286.434404925875,4.215504322999999,0.014717171717171717
292.69823478407477,275.42068730240896,4.192236704000001,0.015221212121212122
292.7059961153104,264.0325104053186,4.151977901,0.015725252525252528
292.7130324645751,255.6280281633161,4.14866215,0.01622929292929293
292.72142446653544,245.29823976095614,4.104657211999999,0.016733333333333333
292.7297096892926,236.8280932001172,4.082294354,0.01723737373737374
292.7380917437006,227.22028874743802,4.031209244000001,0.01774141414141414
292.7467294574875,229.03874275037367,4.17891597,0.018245454545454547
292.7550047156277,219.74877430557046,4.120178533999999,0.01874949494949495
292.76307884818397,211.12987585698545,4.064996529,0.019253535353535356
292.7713266649768,207.39340257515335,4.097590863,0.01975757575757576
292.77934615663025,201.85276008474995,4.089863146,0.020261616161616165
292.7872016813698,196.13695676427668,4.072912684,0.020765656565656567
292.79577226945736,181.93826181507336,3.8697716959999995,0.02126969696969697
292.8038437825034,181.08635579281872,3.9429267530000005,0.021773737373737376
292.81198983927965,176.68906253865336,3.936239671,0.02227777777777778
292.82015812303064,171.45359452114923,3.906024617,0.022781818181818184
292.8290093071814,166.97555560013882,3.8881691750000003,0.023285858585858587
292.83729918665387,162.32642734799592,3.8617293100000003,0.023789898989898993
292.8468751933687,157.85277829237867,3.8348658289999995,0.024293939393939395
292.85564934470307,153.65805202851325,3.81040927,0.024797979797979798
292.86297342886627,149.73442538384765,3.788583456,0.025302020202020204
292.8741259219002,145.632100085721,3.758190801,0.025806060606060607
292.8828527376185,141.94168549813796,3.7345000829999995,0.026310101010101013
292.8929326431811,138.5612659609734,3.7154013800000003,0.026814141414141415
292.9022949644941,135.25716017970046,3.6949796939999997,0.02731818181818182
292.9120992865025,132.24037420926516,3.679221078,0.027822222222222224
292.92159064618835,129.2956334664622,3.6624620699999992,0.028326262626262626
292.9306847817983,127.44167964998947,3.6741822429999997,0.028830303030303032
292.9417627386056,124.32507937880925,3.6469945759999995,0.029334343434343435
292.9517728979365,121.16127731922818,3.6152566990000006,0.02983838383838384
292.96224246122745,118.4761637131729,3.5948540220000007,0.030342424242424244
292.9718057224493,115.8000040827821,3.572020732,0.03084646464646465
292.9826004152862,113.30820349711631,3.5522694059999997,0.03135050505050506
292.9926453794631,110.90219815068488,3.5327391119999993,0.03185454545454546
293.0040680908033,109.1879108203527,3.533166386999999,0.032358585858585864
293.01388195853235,107.68711139269683,3.5388812949999995,0.03286262626262627
293.0248082022337,105.70243312687313,3.5269378520000005,0.03336666666666667
293.03432916620216,103.4553877391745,3.504107133,0.03387070707070708
293.04527014180815,101.66301499573916,3.494640468,0.03437474747474748
293.0575641842616,114.22063074109467,3.9838771509999993,0.034878787878787884
293.0687757081503,112.888781192726,3.9943243599999994,0.03538282828282829
293.0803149982151,116.36152419528256,4.1758507389999995,0.035886868686868696
293.09213465224894,112.53964312265798,4.095419922,0.0363909090909091
293.1037781293087,110.40149442561459,4.073257560999999,0.0368949494949495
293.11454261063744,112.72347620580689,4.215744148000001,0.037398989898989904
293.1272187588876,111.82700971698111,4.238582537999999,0.037903030303030306
293.13862868473416,106.58568127265075,4.093643797,0.038407070707070716
293.1496588898027,106.44067873500853,4.141725076999999,0.03891111111111112
293.16126984197484,103.04090606980851,4.061372924999999,0.03941515151515152
293.1720938159374,101.03665665789472,4.033301688,0.039919191919191924
293.1835707153413,98.15252484694767,3.967642315,0.04042323232323233
293.1951442522503,97.17985064637938,3.9773062510000003,0.040927272727272736
293.20798900201225,95.98178137382058,3.9766512389999997,0.04143131313131314
293.2210968140174,96.41634373229597,4.043253461,0.04193535353535354
293.23418226124454,94.44907322956087,4.0083614260000004,0.04243939393939394
