 ,Area,Mean,Min,Max,Angle,Length
1,0.002,86.742,61.292,223.667,4.591,0.534
2,0.002,77.667,61.751,110.434,3.705,0.542
3,0.002,88.596,61.271,209.481,3.289,0.508
4,0.002,86.866,68.000,197.000,4.950,0.496
5,0.002,77.136,63.363,154.667,3.786,0.530
